Recency,Frequency,Monetary,Rank,R_Quartile,F_Quartile,M_Quartile,RFMScore
359,1,17.0,3339.0,1,1,1,111
185,1,17.0,3339.0,1,1,1,111
252,1,17.0,3339.0,1,1,1,111
288,1,17.0,3339.0,1,1,1,111
173,1,17.0,3339.0,1,1,1,111
323,1,17.0,3339.0,1,1,1,111
325,1,17.0,3339.0,1,1,1,111
294,1,17.0,3339.0,1,1,1,111
311,1,17.0,3339.0,1,1,1,111
319,1,17.0,3339.0,1,1,1,111
353,1,17.0,3339.0,1,1,1,111
369,1,16.95,3351.0,1,1,1,111
254,1,16.8,3355.0,1,1,1,111
267,1,16.8,3355.0,1,1,1,111
148,1,16.5,3381.0,1,1,1,111
357,1,16.5,3381.0,1,1,1,111
203,1,16.5,3381.0,1,1,1,111
364,1,16.5,3381.0,1,1,1,111
233,1,16.5,3381.0,1,1,1,111
165,1,16.5,3381.0,1,1,1,111
317,1,16.5,3381.0,1,1,1,111
179,1,16.5,3381.0,1,1,1,111
364,1,16.5,3381.0,1,1,1,111
312,1,16.5,3381.0,1,1,1,111
308,1,16.5,3381.0,1,1,1,111
246,1,16.5,3381.0,1,1,1,111
207,1,16.5,3381.0,1,1,1,111
303,1,16.5,3381.0,1,1,1,111
365,1,16.15,3407.0,1,1,1,111
190,1,15.9,3420.0,1,1,1,111
185,1,15.9,3420.0,1,1,1,111
159,1,15.9,3420.0,1,1,1,111
297,1,15.9,3420.0,1,1,1,111
197,1,15.9,3420.0,1,1,1,111
282,1,15.9,3420.0,1,1,1,111
243,1,15.9,3420.0,1,1,1,111
367,1,15.9,3420.0,1,1,1,111
365,1,15.9,3420.0,1,1,1,111
176,1,15.9,3420.0,1,1,1,111
277,1,15.9,3420.0,1,1,1,111
371,1,15.9,3420.0,1,1,1,111
191,1,15.9,3420.0,1,1,1,111
262,1,15.9,3420.0,1,1,1,111
243,1,15.9,3420.0,1,1,1,111
266,1,15.8,3432.5,1,1,1,111
274,1,15.8,3432.5,1,1,1,111
182,1,15.600000000000001,3439.5,1,1,1,111
169,1,15.600000000000001,3439.5,1,1,1,111
254,1,15.600000000000001,3439.5,1,1,1,111
322,1,15.6,3446.5,1,1,1,111
276,1,15.6,3446.5,1,1,1,111
248,1,15.6,3446.5,1,1,1,111
309,1,15.6,3446.5,1,1,1,111
358,1,15.6,3446.5,1,1,1,111
358,1,15.299999999999999,3455.5,1,1,1,111
204,1,15.299999999999999,3455.5,1,1,1,111
261,1,15.299999999999999,3455.5,1,1,1,111
142,1,15.299999999999999,3455.5,1,1,1,111
317,1,15.299999999999999,3455.5,1,1,1,111
183,1,15.12,3465.5,1,1,1,111
322,1,15.0,3524.5,1,1,1,111
159,1,15.0,3524.5,1,1,1,111
318,1,15.0,3524.5,1,1,1,111
245,1,15.0,3524.5,1,1,1,111
276,1,15.0,3524.5,1,1,1,111
212,1,15.0,3524.5,1,1,1,111
276,1,15.0,3524.5,1,1,1,111
245,1,15.0,3524.5,1,1,1,111
149,1,15.0,3524.5,1,1,1,111
365,1,15.0,3524.5,1,1,1,111
281,1,15.0,3524.5,1,1,1,111
372,1,15.0,3524.5,1,1,1,111
267,1,15.0,3524.5,1,1,1,111
169,1,15.0,3524.5,1,1,1,111
263,1,15.0,3524.5,1,1,1,111
240,1,15.0,3524.5,1,1,1,111
313,1,15.0,3524.5,1,1,1,111
305,1,15.0,3524.5,1,1,1,111
234,1,15.0,3524.5,1,1,1,111
287,1,15.0,3524.5,1,1,1,111
320,1,15.0,3524.5,1,1,1,111
189,1,15.0,3524.5,1,1,1,111
280,1,15.0,3524.5,1,1,1,111
315,1,15.0,3524.5,1,1,1,111
238,1,15.0,3524.5,1,1,1,111
225,1,15.0,3524.5,1,1,1,111
263,1,15.0,3524.5,1,1,1,111
329,1,15.0,3524.5,1,1,1,111
266,1,15.0,3524.5,1,1,1,111
319,1,15.0,3524.5,1,1,1,111
372,1,15.0,3524.5,1,1,1,111
323,1,15.0,3524.5,1,1,1,111
318,1,15.0,3524.5,1,1,1,111
364,1,15.0,3524.5,1,1,1,111
185,1,15.0,3524.5,1,1,1,111
145,1,15.0,3524.5,1,1,1,111
365,1,15.0,3524.5,1,1,1,111
359,1,15.0,3524.5,1,1,1,111
256,1,15.0,3524.5,1,1,1,111
236,1,15.0,3524.5,1,1,1,111
371,1,15.0,3524.5,1,1,1,111
187,1,15.0,3524.5,1,1,1,111
373,1,15.0,3524.5,1,1,1,111
217,1,15.0,3524.5,1,1,1,111
232,1,15.0,3524.5,1,1,1,111
246,1,15.0,3524.5,1,1,1,111
369,1,15.0,3524.5,1,1,1,111
214,1,15.0,3524.5,1,1,1,111
287,1,15.0,3524.5,1,1,1,111
192,1,14.95,3580.5,1,1,1,111
270,1,14.850000000000001,3591.0,1,1,1,111
289,1,14.850000000000001,3591.0,1,1,1,111
196,1,14.850000000000001,3591.0,1,1,1,111
303,1,14.850000000000001,3591.0,1,1,1,111
261,1,14.850000000000001,3591.0,1,1,1,111
310,1,14.850000000000001,3591.0,1,1,1,111
360,1,14.850000000000001,3591.0,1,1,1,111
373,1,14.850000000000001,3591.0,1,1,1,111
268,1,14.850000000000001,3591.0,1,1,1,111
225,1,14.75,3602.0,1,1,1,111
277,1,14.75,3602.0,1,1,1,111
159,1,13.68,3631.0,1,1,1,111
171,1,13.52,3636.5,1,1,1,111
211,1,13.52,3636.5,1,1,1,111
334,1,13.5,3640.0,1,1,1,111
333,1,13.200000000000001,3647.0,1,1,1,111
161,1,13.2,3650.0,1,1,1,111
367,1,13.049999999999999,3653.5,1,1,1,111
186,1,13.0,3655.0,1,1,1,111
196,1,12.75,3666.0,1,1,1,111
179,1,12.75,3666.0,1,1,1,111
256,1,12.75,3666.0,1,1,1,111
179,1,12.75,3666.0,1,1,1,111
163,1,12.75,3666.0,1,1,1,111
145,1,12.75,3666.0,1,1,1,111
368,1,12.75,3666.0,1,1,1,111
249,1,12.75,3666.0,1,1,1,111
247,1,12.75,3666.0,1,1,1,111
220,1,12.75,3666.0,1,1,1,111
290,1,12.75,3666.0,1,1,1,111
281,1,12.75,3666.0,1,1,1,111
331,1,12.75,3666.0,1,1,1,111
302,1,12.600000000000001,3687.0,1,1,1,111
291,1,12.600000000000001,3687.0,1,1,1,111
291,1,12.600000000000001,3687.0,1,1,1,111
269,1,12.600000000000001,3687.0,1,1,1,111
372,1,12.600000000000001,3687.0,1,1,1,111
214,1,12.600000000000001,3687.0,1,1,1,111
351,1,12.600000000000001,3687.0,1,1,1,111
236,1,12.600000000000001,3687.0,1,1,1,111
156,1,12.600000000000001,3687.0,1,1,1,111
372,1,12.600000000000001,3687.0,1,1,1,111
211,1,12.5,3700.0,1,1,1,111
254,1,12.5,3700.0,1,1,1,111
233,1,12.5,3700.0,1,1,1,111
148,1,12.48,3707.5,1,1,1,111
155,1,12.450000000000001,3711.5,1,1,1,111
367,1,11.95,3722.5,1,1,1,111
169,1,11.9,3727.5,1,1,1,111
157,1,11.9,3727.5,1,1,1,111
283,1,11.9,3727.5,1,1,1,111
247,1,11.9,3727.5,1,1,1,111
234,1,11.8,3733.0,1,1,1,111
308,1,11.7,3740.0,1,1,1,111
249,1,11.7,3740.0,1,1,1,111
280,1,11.7,3740.0,1,1,1,111
241,1,11.6,3747.5,1,1,1,111
263,1,11.399999999999999,3753.0,1,1,1,111
177,1,10.5,3780.0,1,1,1,111
198,1,10.5,3780.0,1,1,1,111
205,1,10.5,3780.0,1,1,1,111
225,1,10.5,3780.0,1,1,1,111
366,1,10.5,3780.0,1,1,1,111
242,1,10.4,3790.0,1,1,1,111
253,1,10.2,3809.0,1,1,1,111
336,1,10.2,3809.0,1,1,1,111
182,1,10.2,3809.0,1,1,1,111
365,1,10.2,3809.0,1,1,1,111
172,1,10.2,3809.0,1,1,1,111
297,1,10.2,3809.0,1,1,1,111
247,1,10.2,3809.0,1,1,1,111
373,1,10.2,3809.0,1,1,1,111
242,1,10.2,3809.0,1,1,1,111
157,1,10.2,3809.0,1,1,1,111
325,1,10.2,3809.0,1,1,1,111
331,1,10.2,3809.0,1,1,1,111
288,1,10.2,3809.0,1,1,1,111
361,1,10.2,3809.0,1,1,1,111
280,1,10.2,3809.0,1,1,1,111
201,1,10.2,3809.0,1,1,1,111
248,1,10.2,3809.0,1,1,1,111
263,1,10.2,3809.0,1,1,1,111
330,1,10.2,3809.0,1,1,1,111
154,1,10.2,3809.0,1,1,1,111
274,1,10.08,3832.0,1,1,1,111
264,1,10.08,3832.0,1,1,1,111
192,1,10.08,3832.0,1,1,1,111
192,1,9.959999999999999,3844.5,1,1,1,111
204,1,9.959999999999999,3844.5,1,1,1,111
234,1,9.95,3854.0,1,1,1,111
278,1,9.95,3854.0,1,1,1,111
177,1,9.95,3854.0,1,1,1,111
219,1,9.95,3854.0,1,1,1,111
197,1,9.95,3854.0,1,1,1,111
306,1,9.95,3854.0,1,1,1,111
277,1,9.95,3854.0,1,1,1,111
273,1,9.95,3854.0,1,1,1,111
257,1,9.9,3864.5,1,1,1,111
201,1,9.9,3864.5,1,1,1,111
280,1,9.899999999999999,3871.0,1,1,1,111
285,1,9.899999999999999,3871.0,1,1,1,111
309,1,9.75,3876.0,1,1,1,111
226,1,9.120000000000001,3902.0,1,1,1,111
162,1,9.0,3905.0,1,1,1,111
358,1,9.0,3905.0,1,1,1,111
155,1,9.0,3905.0,1,1,1,111
245,1,8.850000000000001,3911.0,1,1,1,111
281,1,8.850000000000001,3911.0,1,1,1,111
371,1,8.7,3916.5,1,1,1,111
156,1,8.5,3928.5,1,1,1,111
336,1,8.5,3928.5,1,1,1,111
182,1,8.5,3928.5,1,1,1,111
322,1,8.5,3928.5,1,1,1,111
373,1,8.5,3928.5,1,1,1,111
274,1,8.5,3928.5,1,1,1,111
373,1,8.5,3928.5,1,1,1,111
352,1,8.4,3940.0,1,1,1,111
354,1,8.4,3940.0,1,1,1,111
227,1,8.4,3940.0,1,1,1,111
173,1,8.3,3945.5,1,1,1,111
227,1,8.25,3953.0,1,1,1,111
361,1,8.25,3953.0,1,1,1,111
311,1,8.25,3953.0,1,1,1,111
208,1,7.95,3969.5,1,1,1,111
145,1,7.95,3969.5,1,1,1,111
260,1,7.95,3969.5,1,1,1,111
232,1,7.95,3969.5,1,1,1,111
309,1,7.95,3969.5,1,1,1,111
147,1,7.95,3969.5,1,1,1,111
171,1,7.95,3969.5,1,1,1,111
305,1,7.95,3969.5,1,1,1,111
162,1,7.95,3969.5,1,1,1,111
172,1,7.95,3969.5,1,1,1,111
334,1,7.800000000000001,3984.0,1,1,1,111
225,1,7.800000000000001,3984.0,1,1,1,111
302,1,7.800000000000001,3984.0,1,1,1,111
189,1,7.8,3986.0,1,1,1,111
269,1,7.6499999999999995,3988.5,1,1,1,111
233,1,7.56,3990.5,1,1,1,111
269,1,7.5,3998.0,1,1,1,111
306,1,7.5,3998.0,1,1,1,111
247,1,7.5,3998.0,1,1,1,111
277,1,7.5,3998.0,1,1,1,111
149,1,6.959999999999999,4015.5,1,1,1,111
173,1,6.959999999999999,4015.5,1,1,1,111
263,1,6.959999999999999,4015.5,1,1,1,111
241,1,6.95,4019.0,1,1,1,111
373,1,6.75,4028.0,1,1,1,111
312,1,6.6000000000000005,4037.0,1,1,1,111
255,1,6.5,4039.5,1,1,1,111
283,1,6.3,4042.0,1,1,1,111
290,1,5.95,4050.5,1,1,1,111
190,1,5.95,4050.5,1,1,1,111
257,1,5.9,4058.0,1,1,1,111
260,1,5.9,4058.0,1,1,1,111
334,1,5.9,4058.0,1,1,1,111
217,1,5.9,4058.0,1,1,1,111
275,1,5.9,4058.0,1,1,1,111
313,1,5.8500000000000005,4063.0,1,1,1,111
204,1,5.76,4066.5,1,1,1,111
190,1,5.75,4068.0,1,1,1,111
319,1,5.1,4082.0,1,1,1,111
203,1,5.1,4082.0,1,1,1,111
289,1,5.04,4092.0,1,1,1,111
180,1,5.04,4092.0,1,1,1,111
199,1,5.04,4092.0,1,1,1,111
318,1,5.04,4092.0,1,1,1,111
240,1,5.04,4092.0,1,1,1,111
368,1,5.04,4092.0,1,1,1,111
186,1,5.04,4092.0,1,1,1,111
288,1,5.04,4092.0,1,1,1,111
269,1,5.0,4103.0,1,1,1,111
253,1,5.0,4103.0,1,1,1,111
312,1,4.95,4116.0,1,1,1,111
214,1,4.95,4116.0,1,1,1,111
157,1,4.95,4116.0,1,1,1,111
362,1,4.95,4116.0,1,1,1,111
264,1,4.95,4116.0,1,1,1,111
182,1,4.95,4116.0,1,1,1,111
170,1,4.95,4116.0,1,1,1,111
271,1,4.949999999999999,4125.5,1,1,1,111
151,1,4.8,4129.0,1,1,1,111
372,1,4.75,4131.5,1,1,1,111
336,1,4.5600000000000005,4141.0,1,1,1,111
177,1,4.5600000000000005,4141.0,1,1,1,111
362,1,4.25,4153.5,1,1,1,111
290,1,4.25,4153.5,1,1,1,111
292,1,4.25,4153.5,1,1,1,111
264,1,4.25,4153.5,1,1,1,111
250,1,4.25,4153.5,1,1,1,111
215,1,4.25,4153.5,1,1,1,111
318,1,4.2,4161.0,1,1,1,111
149,1,4.16,4164.5,1,1,1,111
170,1,4.15,4168.5,1,1,1,111
253,1,3.95,4174.5,1,1,1,111
215,1,3.9000000000000004,4177.5,1,1,1,111
243,1,3.9,4179.0,1,1,1,111
326,1,3.75,4187.5,1,1,1,111
306,1,3.75,4187.5,1,1,1,111
254,1,3.75,4187.5,1,1,1,111
372,1,3.75,4187.5,1,1,1,111
297,1,3.75,4187.5,1,1,1,111
303,1,3.4799999999999995,4197.5,1,1,1,111
179,1,3.4799999999999995,4197.5,1,1,1,111
151,1,3.38,4200.0,1,1,1,111
308,1,3.3600000000000003,4202.5,1,1,1,111
179,1,3.3600000000000003,4202.5,1,1,1,111
365,1,3.3,4207.5,1,1,1,111
147,1,3.3,4207.5,1,1,1,111
262,1,3.3,4207.5,1,1,1,111
201,1,3.3,4207.5,1,1,1,111
305,1,3.3,4207.5,1,1,1,111
225,1,3.25,4211.0,1,1,1,111
285,1,3.0,4213.5,1,1,1,111
185,1,2.95,4219.5,1,1,1,111
243,1,2.95,4219.5,1,1,1,111
142,1,2.95,4219.5,1,1,1,111
247,1,2.8499999999999996,4229.0,1,1,1,111
262,1,2.6,4232.5,1,1,1,111
288,1,2.55,4235.5,1,1,1,111
226,1,2.55,4235.5,1,1,1,111
194,1,2.5,4240.0,1,1,1,111
283,1,2.5,4240.0,1,1,1,111
373,1,2.2,4248.0,1,1,1,111
364,1,2.1,4252.0,1,1,1,111
311,1,2.1,4252.0,1,1,1,111
320,1,2.1,4252.0,1,1,1,111
215,1,2.08,4259.5,1,1,1,111
368,1,1.95,4269.0,1,1,1,111
185,1,1.92,4272.5,1,1,1,111
159,1,1.9,4275.0,1,1,1,111
304,1,1.9,4275.0,1,1,1,111
236,1,1.7399999999999998,4277.0,1,1,1,111
273,1,1.7,4279.5,1,1,1,111
236,1,1.7,4279.5,1,1,1,111
185,1,1.6800000000000002,4282.0,1,1,1,111
211,1,1.66,4285.0,1,1,1,111
366,1,1.65,4290.0,1,1,1,111
171,1,1.65,4290.0,1,1,1,111
362,1,1.65,4290.0,1,1,1,111
284,1,1.45,4295.5,1,1,1,111
361,1,1.45,4295.5,1,1,1,111
262,1,1.25,4304.0,1,1,1,111
319,1,1.25,4304.0,1,1,1,111
364,1,1.25,4304.0,1,1,1,111
163,1,1.25,4304.0,1,1,1,111
354,1,1.25,4304.0,1,1,1,111
337,1,1.25,4304.0,1,1,1,111
173,1,1.16,4312.0,1,1,1,111
241,1,0.95,4314.5,1,1,1,111
362,1,0.95,4314.5,1,1,1,111
208,1,0.95,4314.5,1,1,1,111
266,1,0.85,4321.0,1,1,1,111
365,1,0.85,4321.0,1,1,1,111
312,1,0.85,4321.0,1,1,1,111
259,1,0.85,4321.0,1,1,1,111
299,1,0.85,4321.0,1,1,1,111
172,1,0.72,4328.5,1,1,1,111
371,1,0.65,4331.5,1,1,1,111
266,1,0.58,4334.0,1,1,1,111
362,1,0.42,4335.5,1,1,1,111
